set,num,mean cp
sm2,60,248.24680372597
sm35,52,195.214268514278
sm35,53,193.709972827863
sm6,77,149.950585530625
sm6,50,117.160965794769
sm6,51,110.406438631791
sm7,109,99.0833333333333
sm2,74,98.3497386212324
sm7,24,92.2274884268565
sm35,45,85.8925728219642
sm7,23,84.8394357121969
sm1,52,80.1369863013699
sm1,13,80.1369863013699
smp,30,79.9486017621759
sm2,50,79.7087805813375
sm2,51,69.5270310428594
sm4,57,65.4695746458344
sm8,154,62.8371180933826
sm1,113,58.83564353023
sm6,75,58.1502205493854
sm6,74,53.3679390595984
sm7,22,51.7123287671233
sm5,74,41.4232099927729
sm2,73,40.6566211899735
sm5,73,38.4102351514509
sm2,21,35.8302991672251
sm8,97,30.3754527162978
sm7,67,28.2504066103123
sm8,108,27.9260935143288
sm1,12,27.8941393218145
sm1,9,27.8941393218145
sm1,101,26.9463175514108
sm8,52,26.2470588235294
sm3,63,25.6490945674044
sm3,80,25.6285714285714
sm8,86,25
sm8,132,24.8323658207328
sm5,114,23.5651472971811
sm2,66,22.207073311997
sm2,92,21.0894308943089
sm5,63,20.6571428571429
sm8,138,20.4819277108434
smp,45,20.0197183098592
sm1,58,20.0183511169274
sm8,137,18.433734939759
sm8,107,18.2588235294118
sm5,94,14.5618902296933
sm3,91,12.3968499219575
sm6,95,11.890756302521
sm8,109,11.8788732394366
sm7,86,11.7643724696356
smp,32,11.3869863013699
sm35,41,10.9383628256249
sm3,93,10.891355416463
smp,06,10.6551282051282
sm4,43,10.1625754527163
sm6,55,9.92398190045249
sm3,16,9.83018867924528
sm8,17,9.71178092986604
smp,82,9.56204733464819
sm2,58,9.36675758784513
sm35,55,8.6681112894596
sm3,21,8.41043083900227
sm1,73,8.2972972972973
sm5,70,8.2972972972973
sm5,90,8.27345383661173
sm5,83,8.20717703349282
sm35,57,8.09859154929577
sm6,73,7.99088145896657
sm7,35,7.98734335839599
sm2,85,7.77174459527401
sm3,17,7.60377358490566
sm7,31,7.22592592592593
sm7,63,6.09012362863132
sm2,83,6.0680408915703
sm5,80,5.72200956937799
sm7,66,5.70844423931835
smp,107,5.70194538640014
sm7,89,5.4
sm2,64,5.19245852187029
sm2,22,4.79754020813623
sm2,80,4.67592592592593
sm7,32,4.66666666666667
sm6,88,4.62431069986882
sm5,81,4.61068580542265
sm7,80,4.58995281420266
sm1,64,4.07936507936508
sm8,165,4
sm8,12,4
sm8,13,4
sm8,14,4
sm35,7,3.96975165420641
sm1,10,3.84822984613852
sm3,25,3.71428571428571
sm7,39,3.6
sm5,62,3.57142857142857
sm6,56,3.44886877828054
sm7,33,3.32067669172932
sm2,84,3.30610021786492
sm8,82,3.07228915662651
sm8,81,3.07228915662651
sm8,87,3
sm4,84,3
sm4,70,2.91797383238708
sm5,39,2.91176470588235
sm7,102,2.66734143049932
sm1,89,2.55820105820106
sm5,88,2.51754385964912
sm5,32,2.4
sm5,34,2.4
sm5,25,2.38775510204082
sm7,34,2.29486215538847
sm8,140,2.28571428571429
sm8,94,2.15740740740741
sm3,50,2.11428571428571
sm8,43,2.04819277108434
sm1,90,2.04819277108434
sm1,35,2
sm3,86,2
smp,104,1.95238095238095
sm6,2,1.84615384615385
sm8,91,1.8
sm7,40,1.8
sm3,96,1.79824561403509
sm3,95,1.79824561403509
sm7,92,1.7037037037037
sm2,18,1.59183673469388
sm8,130,1.5
sm5,66,1.5
sm2,56,1.48894788506157
sm5,33,1.45
sm3,92,1.41025641025641
sm7,100,1.35964912280702
sm75,25,1.33333333333333
sm2,47,1.33333333333333
sm75,26,1.33333333333333
sm5,89,1.29323308270677
sm6,31,1.13725490196078
sm6,87,1.09756097560976
sm4,89,1.07142857142857
sm4,90,1.07142857142857
sm1,65,1.06613756613757
smp,100,1
sm4,4,0.923076923076923
sm6,1,0.923076923076923
sm75,11,0.888888888888889
sm5,60,0.857142857142857
sm7,95,0.851851851851852
sm75,13,0.795918367346939
sm8,115,0.788079470198676
sm8,141,0.761904761904762
sm2,59,0.717134717134717
sm35,25,0.666666666666667
sm5,101,0.666666666666667
sm7,46,0.666666666666667
sm2,8,0.555555555555556
sm2,9,0.555555555555556
sm2,15,0.530612244897959
sm6,11,0.525423728813559
sm2,63,0.5
sm35,26,0.470588235294118
sm7,88,0.461538461538462
sm75,7,0.444444444444444
sm3,49,0.4
sm1,57,0.381679389312977
sm6,82,0.359649122807018
sm7,96,0.359649122807018
sm1,51,0.342465753424657
smp,68,0.342465753424657
sm6,90,0.333333333333333
sm5,91,0.26530612244898
sm35,14,0.26530612244898
sm2,55,0.230769230769231
sm5,100,0.218181818181818
sm2,87,0.214285714285714
sm7,94,0.076923076923077
