Posição	Nome Japonês
1	ゲッコウガ
2	アルセウス
3	ミュウ
4	ピカチュウ
5	ニンフィア
6	ゲノセクト
7	レックウザ
8	ジガルデ
9	リザードン
10	メロエッタ
11	ミュウツー
12	イーブイ
13	ジラーチ
14	ダークライ
15	ルカリオ
16	ディアンシー
17	フーパ
18	ケルディオ
19	ビクティニ
20	マナフィ
21	レシラム
22	カイオーガ
23	キュレム
24	コイル
25	シェイミ
26	イベルタル
27	ギラティナ
28	ルギア
29	グラードン
30	ディアルガ
31	デデンネ
32	アーケオス
33	ゼクロム
34	スイクン
35	ゲンガー
36	ホウオウ
37	ゼルネアス
38	サーナイト
39	セレビィ
40	ポッチャマ
41	パルキア
42	ガブリアス
43	レジギガス
44	アグノム
45	バシャーモ
46	ランドロス
47	グレイシア
48	ラティアス
49	プリン
50	デオキシス
51	ミジュマル
52	カビゴン
53	フリーザー
54	アブソル
55	ラティオス
56	ゾロアーク
57	メタモン
58	フォッコ
59	カイリュー
60	サザンドラ
61	ジュカイン
62	サンダー
62	リーフィア
64	ボーマンダ
65	フライゴン
66	エーフィ
67	ファイヤー
68	ヌメラ
69	ピチュー
70	ゴウカザル
71	ライチュウ
72	メタグロス
73	ケロマツ
74	クレセリア
75	カメックス
76	ブラッキー
77	エモンガ
78	アーボック
79	ミロカロス
80	ラプラス
81	ラグラージ
82	ニャース
83	アゲハント
84	クチート
85	オンバーン
86	レントラー
87	デンリュウ
88	アーケン
89	フシギダネ
90	アーマルド
91	コイキング
92	シャンデラ
93	アチャモ
94	ボルトロス
95	ブースター
96	ポリゴン
97	ハリマロン
98	ライコウ
99	カイリキー
100	ミズゴロウ
101	エルレイド
102	アーボ
103	アサナン
104	キュウコン
105	ツタージャ
106	ソーナンス
107	ギルガルド
108	チルタリス
109	シャワーズ
110	ファイアロー
111	テールナー
112	ヒノアラシ
113	サンダース
114	ゼニガメ
115	アギルダー
116	グレッグル
117	エンテイ
118	ハッサム
119	ニャオニクス
120	アイアント
121	エンペルト
122	チコリータ
123	ダイケンキ
124	パチリス
125	ヒトカゲ
126	ウインディ
127	マッギョ
128	マフォクシー
129	ロトム
130	アマルルガ
131	ヤンチャム
132	ガルーラ
133	ホエルオー
134	バクフーン
135	ポリゴンZ
136	ジャローダ
137	オノノクス
138	フシギバナ
139	チラチーノ
140	バンギラス
141	コダック
142	ルチャブル
143	ミカルゲ
144	ヌメルゴン
145	フィオネ
146	マニューラ
147	タブンネ
148	ゾロア
149	ロコン
150	ヤミラミ
151	エルフーン
152	ジュペッタ
153	マイナン
154	ドダイトス
154	アマルス
156	ヤドン
157	トルネロス
157	ゲコガシラ
159	トゲキッス
160	ポカブ
161	ヌケニン
162	ナエトル
162	ミミロップ
164	ニャスパー
165	マーイーカ
166	ムクホーク
167	マリル
168	ハクリュー
169	レジアイス
170	クマシュン
171	ワニノコ
172	アンノーン（F）
173	トゲピー
173	ミミロル
173	ドレディア
176	ボスゴドラ
177	ヌオー
178	ウルガモス
179	ユキメノコ
180	ヒードラン
181	ガチゴラス
182	ピッピ
182	オーダイル
184	キリキザン
185	ゴンベ
185	ズルッグ
187	ヘラクロス
188	ウパー
189	ニョロトノ
190	コバルオン
191	オオタチ
192	クロバット
193	エンブオー
194	チラーミィ
195	ノコッチ
196	ピジョット
197	ギャラドス
198	ピィ
199	プラスル
200	マリルリ
200	エネコ
202	エレキブル
203	ヒメグマ
204	ウォーグル
205	ランクルス
206	ガーディ
207	ヘルガー
208	ヒコザル
209	エムリット
210	ハガネール
210	オンバット
212	ラッキー
212	ペンドラー
214	ムウマ
215	キモリ
216	ビリジオン
217	タマザラシ
217	ワルビアル
219	スピアー
220	レジスチル
221	ワンリキー
222	メガニウム
223	リオル
224	ボクレー
225	シキジカ（はるのすがた）
226	ヤドラン
227	フーディン
227	ライボルト
229	ツボツボ
229	キノガッサ
231	キャタピー
231	ビビヨン（はなぞの）
233	アズマオウ
233	ペロッパフ
235	カモネギ
235	ホルビー
237	ゴクリン
237	グライオン
237	アバゴーラ
237	ペロリーム
241	クレッフィ
242	ロズレイド
243	ルージュラ
243	グラエナ
243	オニゴーリ
246	エネコロロ
247	ユクシー
248	ヌマクロー
249	レジロック
250	バタフリー
251	ベイリーフ
252	ブリガロン
253	ヤヤコマ
254	マグマラシ
254	ムウマージ
256	ニドキング
257	ギギギアル
258	ルンパッパ
258	ヨノワール
260	アリアドス
261	イワーク
262	エアームド
262	ポリゴン2
264	ワタッコ
264	ブイゼル
266	プテラ
266	シビルドン
268	ヒトモシ
269	コリンク
270	プクリン
271	ギャロップ
271	キバゴ
271	カエンジシ
274	ジュプトル
275	リザード
275	ミニリュウ
277	ワカシャモ
278	ベトベトン
278	アメタマ
280	サメハダー
280	ウソハチ
280	ピンプク
283	パッチール
283	ドサイドン
283	バチュル
286	ゴルーグ
287	キレイハナ
288	ナットレイ
289	トリトドン（にしのうみ）
290	イシツブテ
291	オオスバメ
291	ザングース
293	ネイティオ
294	ププリン
295	ドーブル
295	ヨーテリー
297	レアコイル
297	ランターン
299	キングラー
299	スターミー
299	ヨーギラス
302	ルリリ
303	ヤドキング
303	ジバコイル
305	ケッキング
306	エレザード
307	ポニータ
308	スボミー
308	エリキテル
308	クレベース
311	ジュゴン
311	ユキノオー
313	オタマロ
313	テラキオン
315	ディグダ
315	アメモース
315	ビッパ
315	ムンナ
315	クルマユ
315	フラージェス（あかいはな）
321	ロゼリア
322	オクタン
322	キルリア
322	フタチマル
325	マルマイン
325	カラカラ
325	ウリムー
325	チリーン
325	コジョンド
325	フラエッテ（あかいはな）
331	サンドパン
331	ストライク
331	ギガイアス
334	ダグトリオ
334	ホルード
334	オーロット
337	ポッポ
337	クリムガン
339	ラムパルド
340	アノプス
341	トロピウス
342	ハピナス
342	ドンカラス
344	カメール
345	ナゾノクサ
345	ゴマゾウ
345	ダルマッカ
348	サワムラー
349	キングドラ
349	チョロネコ
351	アリゲイツ
351	ケムッソ
351	ハスボー
354	ウソッキー
354	ケイコウオ
354	フラベベ（あかいはな）
357	サンド
358	ゴーゴート
358	チゴラス
360	シンボラー
361	マネネ
362	カポエラー
362	バケッチャ（ふつうのサイズ）
364	ゴースト
365	サイホーン
365	モココ
365	サニーゴ
368	ミルタンク
368	テッカニン
368	バネブー
368	フローゼル
368	ダゲキ
368	ニダンギル
374	エイパム
374	ドータクン
374	ブーバーン
377	マッスグマ
377	ポワルン
377	ガマゲロゲ
380	カラマネロ
381	ムックル
381	ミツハニー
383	オニドリル
383	マタドガス
383	カイロス
383	シビシラス
387	ケーシィ
387	カブトプス
389	イシズマイ
389	バイバニラ
391	ユレイドル
391	フワンテ
391	タマゲタケ
394	シシコ
395	マンムー
396	イルミーゼ
397	ヤナップ
398	ピクシー
398	ムチュール
398	デスカーン
398	メレシー
402	エビワラー
402	ジーランス
402	ペラップ
405	オタチ
405	ドリュウズ
407	ユンゲラー
407	ココドラ
407	レパルダス
407	ローブシン
411	ソーナノ
412	トランセル
412	カクレオン
414	ラルトス
414	チルット
414	イワパレス
417	ゴローニャ
418	ニョロゾ
418	ダーテング
420	シュバルゴ
420	ブロスター
422	ニョロモ
422	ゴロンダ
424	ジグザグマ
424	ルクシオ
424	ズルズキン
427	レディアン
427	ワルビル
427	バニプッチ
430	キリンリキ
430	ヘイガニ
430	ガメノデス
433	オコリザル
433	パルシェン
433	ドクロッグ
433	クルミル
437	コクーン
437	チャーレム
437	トドゼルガ
440	メリープ
440	ホエルコ
440	チェリンボ
440	ドラミドロ
444	デリバード
444	パールル
444	ヒヒダルマ
444	ワシボン
444	パンプジン（ふつうのサイズ）
449	フカマル
449	ハーデリア
449	ギアル
452	コラッタ
452	ラッタ
452	ガーメイル
452	ビークイン
452	ドラピオン
452	ヒノヤコマ
458	ゴーリキー
