set	num	price
sm1	1	0.04
sm2	1	0.01
sm3	1	0.03
sm35	1	0.05
sm4	1	0.03
sm5	1	0.04
sm6	1	0.04
sm7	1	0.04
sm75	1	0.09
sm8	1	0.05
sm1	2	0.04
sm2	2	0.04
sm3	2	0.03
sm35	2	0.05
sm4	2	0.05
sm5	2	0.03
sm6	2	0.77
sm7	2	0.05
sm75	2	0.12
sm8	2	0.1
sm1	3	0.09
sm2	3	0.08
sm3	3	0.08
sm35	3	0.15
sm4	3	0.09
sm5	3	0.05
sm6	3	0.03
sm7	3	0.14
sm75	3	1.7
sm8	3	0.05
sm1	4	0.03
sm2	4	0.04
sm3	4	0.03
sm35	4	0.04
sm4	4	0.04
sm5	4	0.03
sm6	4	0.06
sm7	4	0.09
sm75	4	0.1
sm8	4	0.06
sm1	5	0.08
sm2	5	0.04
sm3	5	0.03
sm35	5	0.06
sm4	5	0.04
sm5	5	0.07
sm6	5	0.02
sm7	5	0.03
sm75	5	0.1
sm8	5	0.05
sm1	6	0.05
sm2	6	0.04
sm3	6	0.1
sm35	6	0.05
sm4	6	0.09
sm5	6	0.03
sm6	6	0.02
sm7	6	0.2
sm75	6	0.04
sm8	6	0.05
sm1	7	0.02
sm2	7	0.08
sm3	7	0.03
sm35	7	0.1
sm4	7	0.03
sm5	7	0.02
sm6	7	0.03
sm7	7	0.05
sm75	7	0.48
sm8	7	0.09
sm1	8	0.05
sm2	8	0.02
sm3	8	0.1
sm35	8	0.15
sm4	8	0.03
sm5	8	0.03
sm6	8	0.07
sm7	8	0.03
sm75	8	0.1
sm8	8	0.15
sm1	9	0.06
sm2	9	0.1
sm3	9	0.03
sm35	9	5
sm4	9	0.04
sm5	9	0.2
sm6	9	0.03
sm7	9	0.05
sm75	9	0.1
sm8	9	0.05
sm1	10	0.08
sm2	10	0.1
sm3	10	0.09
sm35	10a	1.75
sm35	10	1.66
sm4	10	0.03
sm5	10	0.03
sm6	10	0.04
sm7	10	0.15
sm75	10	0.1
sm8	10	0.06
sm1	11	0.05
sm2	11	0.04
sm3	11	0.09
sm35	11	0.05
sm4	11	0.1
sm5	11	0.04
sm6	11	0.16
sm7	11	0.03
sm75	11	1.8
sm8	11	0.05
sm1	12	7.99
sm2	12	0.04
sm3	12	0.03
sm35	12	0.04
sm4	12	0.3
sm5	12	0.04
sm6	12	0.1
sm7	12	0.03
sm75	12	0.1
sm8	12	0.06
sm1	13	0.05
sm2	13	0.09
sm3	13	0.05
sm35	13	0.07
sm4	13	0.01
sm5	13	2
sm6	13	0.07
sm7	13	0.05
sm75	13	0.1
sm8	13	0.15
sm1	14	0.05
sm2	14	0.08
sm3	14	0.03
sm35	14	0.1
sm4	14	0.07
sm5	14	0.09
sm6	14	0.04
sm7	14	1.74
sm75	14	0.1
sm8	14	4
sm1	15	1.5
sm2	15	0.03
sm3	15	0.05
sm35	15	0.04
sm4	15	0.03
sm5	15	0.13
sm6	15	0.04
sm7	15	0.03
sm75	15	0.05
sm8	15	0.05
sm1	16	0.03
sm2	16	0.09
sm3	16	0.04
sm35	16	0.06
sm4	16	0.08
sm5	16	0.03
sm6	16	0.05
sm7	16	0.05
sm75	16	0.05
sm8	16	0.14
sm1	17	0.18
sm2	17	0.07
sm3	17	1.58
sm35	17	0.07
sm4	17	0.04
sm5	17	0.06
sm6	17	0.1
sm7	17	0.05
sm75	17	0.1
sm8	17	2.6
sm1	18	0.03
sm2	18	1.5
sm3	18	0.05
sm35	18	0.05
sm4	18	1.75
sm5	18	0.04
sm6	18	0.02
sm7	18	0.05
sm75	18	2
sm8	18	0.08
sm1	19	0.05
sm2	19a	None
sm2	19	0.04
sm3	19	0.04
sm35	19	0.05
sm4	19	0.03
sm5	19	0.11
sm6	19	0.1
sm7	19	0.05
sm75	19	0.05
sm8	19	0.1
sm1	20	0.1
sm2	20	0.05
sm3	20	6.74
sm35	20	0.09
sm4	20	0.03
sm5	20	0.04
sm6	20	1
sm7	20	0.05
sm75	20	0.1
sm8	20	0.05
sm1	21	0.04
sm2	21a	None
sm2	21	0.09
sm3	21	1.99
sm35	21	0.05
sm4	21	0.09
sm5	21	0.03
sm6	21	0.04
sm7	21	0.05
sm75	21	0.1
sm8	21	0.1
sm1	22	0.25
sm2	22	1.8
sm3	22	0.03
sm35	22	0.06
sm4	22	0.03
sm5	22	0.05
sm6	22	0.05
sm7	22	0.08
sm75	22	0.05
sm8	22	4.73
sm1	23	0.03
sm2	23	0.04
sm3	23	0.03
sm35	23	0.05
sm4	23	0.05
sm5	23	0.25
sm6	23	0.08
sm7	23	0.05
sm75	23	0.1
sm8	23	0.05
sm1	24	0.03
sm2	24	0.04
sm3	24	0.05
sm35	24	0.1
sm4	24	0.03
sm5	24	0.1
sm6	24	4
sm7	24	0.45
sm75	24	0.1
sm8	24	0.05
sm1	25	0.05
sm2	25	0.1
sm3	25	1.74
sm35	25	0.09
sm4	25	0.1
sm5	25	0.04
sm6	25	0.04
